cluster_id,gA,sA,wA,N,g_mean,g_min,s_mean,d_eve,mu,chi,beta_A,rate_opt,nfeas_opt
49,1.78935,0.116838,27.5349,4,1.78684,1.77859,0.11687,39.6684,0.95,1,1.6125,1.50297e+07,4
50,1.73933,0.117488,27.7021,3,1.73336,1.7077,0.117569,34.9209,0.95,1,1.6125,1.18568e+07,3
51,1.76816,0.117111,27.605,4,1.76467,1.74427,0.117157,41.8405,0.95,1,1.6125,1.49231e+07,4
52,1.78703,0.116867,27.5425,2,1.76362,1.74468,0.117171,40.0222,0.95,0.5,1.6125,8.92919e+06,2
53,1.7657,0.117143,27.6133,4,1.75646,1.72755,0.117264,31.5318,0.95,1,1.6125,1.47957e+07,4
54,1.70732,0.117916,27.8122,4,1.65579,1.63554,0.118628,31.0418,0.95,1,1.6125,1.43955e+07,4
55,1.79629,0.116749,27.5121,2,1.79452,1.79,0.116772,29.0549,0.95,0.5,1.6125,8.86048e+06,2
56,1.78644,0.116875,27.5444,3,1.77475,1.75926,0.117026,25.2514,0.95,1,1.6125,1.15319e+07,3
57,1.71412,0.117824,27.7886,4,1.6611,1.64609,0.118551,35.6137,0.95,1,1.6125,1.45204e+07,4
58,1.79332,0.116787,27.5218,3,1.77663,1.75246,0.117002,23.7336,0.95,1,1.6125,1.13003e+07,3
59,1.79747,0.116734,27.5082,4,1.77973,1.75856,0.116962,22.098,0.95,1,1.6125,1.36085e+07,4
60,1.74398,0.117427,27.6863,4,1.70537,1.68478,0.117944,36.3303,0.95,1,1.6125,1.47067e+07,4
61,1.72296,0.117706,27.7581,4,1.69168,1.65035,0.118132,34.6298,0.95,1,1.6125,1.46014e+07,4
62,1.75221,0.117319,27.6585,3,1.74463,1.72447,0.117419,35.4381,0.95,1,1.6125,1.19122e+07,3
63,1.75303,0.117308,27.6557,3,1.72348,1.70765,0.117699,35.8797,0.95,1,1.6125,1.18762e+07,3
64,1.78265,0.116924,27.5569,3,1.76037,1.73535,0.117214,35.906,0.95,1,1.6125,1.20156e+07,3
65,1.7653,0.117148,27.6146,2,1.75267,1.74436,0.117313,38.8235,0.95,0.5,1.6125,8.87288e+06,2
66,1.79132,0.116813,27.5284,3,1.78164,1.77826,0.116937,38.8822,0.95,1,1.6125,1.20895e+07,3
67,1.72293,0.117706,27.7582,4,1.67115,1.62393,0.118421,29.7535,0.95,1,1.6125,1.44125e+07,4
68,1.76191,0.117192,27.6259,2,1.74291,1.72679,0.117442,34.1339,0.95,0.5,1.6125,8.83012e+06,2
69,1.74361,0.117432,27.6876,4,1.707,1.66587,0.117924,26.3413,0.95,1,1.6125,1.42418e+07,4
70,1.73587,0.117534,27.7139,4,1.70165,1.68834,0.117993,27.8815,0.95,1,1.6125,1.4379e+07,4
71,1.75101,0.117334,27.6626,3,1.72359,1.71507,0.117698,35.5153,0.95,1,1.6125,1.18692e+07,3
72,1.78011,0.116956,27.5653,3,1.76368,1.75762,0.117169,32.915,0.95,1,1.6125,1.19814e+07,3
73,1.68561,0.118211,27.8882,2,1.66453,1.61549,0.118514,30.5605,0.95,0.5,1.6125,8.52117e+06,2
74,1.70929,0.117889,27.8053,2,1.66107,1.61175,0.118563,22.242,0.95,0.5,1.6125,7.87242e+06,2
75,1.71158,0.117858,27.7974,2,1.66116,1.64105,0.118552,41.2133,0.95,0.5,1.6125,8.63921e+06,2
