cluster_id,gA,sA,wA,N,g_mean,g_min,s_mean,d_eve,mu,chi,beta_A,rate_opt,nfeas_opt
128,1.76072,0.117207,27.6299,3,1.73222,1.7157,0.117583,34.5726,0.95,1,1.6125,1.18994e+07,3
129,1.78639,0.116876,27.5446,2,1.7724,1.76781,0.117056,39.7235,0.95,0.5,1.6125,8.94209e+06,2
130,1.76639,0.117134,27.611,3,1.76409,1.73975,0.117165,38.6771,0.95,1,1.6125,1.19976e+07,3
131,1.76805,0.117112,27.6054,4,1.75056,1.74056,0.117341,39.8852,0.95,1,1.6125,1.48889e+07,4
132,1.74664,0.117392,27.6773,4,1.70316,1.6778,0.117975,33.5464,0.95,1,1.6125,1.46758e+07,4
133,1.76896,0.1171,27.6024,4,1.74686,1.7133,0.117391,23.7068,0.95,1,1.6125,1.39187e+07,4
134,1.75896,0.11723,27.6358,2,1.72837,1.71116,0.117635,37.3964,0.95,0.5,1.6125,8.81952e+06,2
135,1.77728,0.116993,27.5747,3,1.77293,1.76225,0.117049,37.2864,0.95,1,1.6125,1.20353e+07,3
136,1.77808,0.116982,27.5721,4,1.77515,1.76607,0.11702,34.8924,0.95,1,1.6125,1.49441e+07,4
137,1.78243,0.116926,27.5577,4,1.7608,1.74332,0.117207,33.9861,0.95,1,1.6125,1.49118e+07,4
138,1.79247,0.116798,27.5246,4,1.78304,1.77047,0.116919,38.0798,0.95,1,1.6125,1.50256e+07,4
139,1.75906,0.117229,27.6355,2,1.77044,1.76591,0.117081,30.802,0.95,0.5,1.6125,8.81668e+06,2
140,1.7824,0.116927,27.5578,4,1.76889,1.74439,0.117103,36.1247,0.95,1,1.6125,1.49544e+07,4
141,1.78096,0.116945,27.5625,4,1.7672,1.74312,0.117125,33.3674,0.95,1,1.6125,1.4911e+07,4
142,1.74159,0.117458,27.6944,2,1.7458,1.73261,0.117404,31.8452,0.95,0.5,1.6125,8.77036e+06,2
143,1.69416,0.118095,27.8582,3,1.65227,1.62825,0.118676,32.4535,0.95,1,1.6125,1.15654e+07,3
144,1.79115,0.116815,27.5289,2,1.76723,1.759,0.117123,25.4548,0.95,0.5,1.6125,8.56567e+06,2
145,1.75208,0.11732,27.659,3,1.71691,1.70094,0.117788,26.5033,0.95,1,1.6125,1.1503e+07,3
146,1.75466,0.117287,27.6503,2,1.68518,1.68034,0.118218,35.6962,0.95,0.5,1.6125,8.73559e+06,2
147,1.73047,0.117606,27.7324,4,1.69357,1.65565,0.118107,24.1368,0.95,1,1.6125,1.38142e+07,4
148,1.72879,0.117628,27.7381,3,1.69966,1.65858,0.118026,28.8969,0.95,1,1.6125,1.16057e+07,3
149,1.79883,0.116717,27.5038,3,1.78744,1.7711,0.116863,29.6664,0.95,1,1.6125,1.197e+07,3
150,1.75916,0.117228,27.6352,2,1.76337,1.76256,0.117173,34.0359,0.95,0.5,1.6125,8.85783e+06,2
151,1.79964,0.116706,27.5011,3,1.79485,1.78723,0.116768,27.328,0.95,1,1.6125,1.18311e+07,3
152,1.79921,0.116712,27.5025,2,1.77128,1.76227,0.11707,24.9747,0.95,0.5,1.6125,8.53384e+06,2
153,1.75511,0.117281,27.6487,4,1.71683,1.67509,0.117791,33.2641,0.95,1,1.6125,1.47243e+07,4
154,1.79516,0.116763,27.5158,2,1.77211,1.76435,0.11706,33.3749,0.95,0.5,1.6125,8.926e+06,2
155,1.77365,0.11704,27.5868,3,1.74023,1.71924,0.117477,29.583,0.95,1,1.6125,1.1818e+07,3
156,1.78242,0.116927,27.5577,4,1.74804,1.73891,0.117374,25.7631,0.95,1,1.6125,1.43468e+07,4
157,1.77718,0.116994,27.575,2,1.75192,1.75139,0.117322,24.1956,0.95,0.5,1.6125,8.37977e+06,2
158,1.78307,0.116918,27.5555,3,1.77403,1.74387,0.117037,30.6663,0.95,1,1.6125,1.19497e+07,3
159,1.74441,0.117421,27.6849,4,1.67369,1.65504,0.118379,22.4037,0.95,1,1.6125,1.33836e+07,4
160,1.73243,0.11758,27.7256,2,1.69825,1.65902,0.118046,39.1654,0.95,0.5,1.6125,8.73077e+06,2
161,1.71417,0.117824,27.7884,3,1.69573,1.66941,0.118075,24.7113,0.95,1,1.6125,1.11665e+07,3
162,1.79478,0.116768,27.517,4,1.77549,1.75403,0.117016,34.0043,0.95,1,1.6125,1.498e+07,4
163,1.78311,0.116918,27.5554,4,1.75761,1.72961,0.11725,38.4929,0.95,1,1.6125,1.49437e+07,4
164,1.74383,0.117429,27.6869,3,1.69851,1.66329,0.118039,24.5964,0.95,1,1.6125,1.12115e+07,3
165,1.79859,0.11672,27.5046,2,1.78338,1.7699,0.116915,33.3336,0.95,0.5,1.6125,8.94991e+06,2
166,1.79355,0.116784,27.5211,4,1.76917,1.75002,0.117099,34.0365,0.95,1,1.6125,1.49629e+07,4
167,1.75246,0.117315,27.6577,2,1.72609,1.71084,0.117665,26.0193,0.95,0.5,1.6125,8.4943e+06,2
168,1.77986,0.116959,27.5661,2,1.75745,1.74424,0.117251,31.3848,0.95,0.5,1.6125,8.84412e+06,2
