t,sat_id,elevation_deg,zenith_deg,gamma0,sigma_X,w_eq,p_sift,qber,eve_error,secure
405,1,33.8148,56.1852,0.100572,0.199707,49.4149,0.00232078,0.417056,0.488471,0
410,1,35.305,54.695,0.122374,0.192912,47.5836,0.00225379,0.399228,0.486569,0
415,1,36.8692,53.1308,0.148426,0.1864,45.8339,0.00217982,0.378142,0.48445,0
420,1,38.5105,51.4895,0.17939,0.18017,44.1654,0.00209988,0.353491,0.482117,0
425,1,40.2307,49.7693,0.215959,0.174226,42.5783,0.00201566,0.325117,0.479578,0
430,1,42.031,47.969,0.258823,0.168573,41.0733,0.00192954,0.293119,0.476853,0
435,1,43.9108,46.0892,0.308616,0.163216,39.6517,0.00184454,0.257987,0.473973,0
440,1,45.8672,44.1328,0.365839,0.158167,38.3153,0.00176411,0.220702,0.47098,0
445,1,47.8946,42.1054,0.430761,0.153434,37.0663,0.00169167,0.18277,0.467928,0
450,1,49.983,40.017,0.503291,0.149031,35.9075,0.00163024,0.146078,0.464879,0
455,1,52.1173,37.8827,0.582835,0.144973,34.8423,0.00158187,0.112578,0.461902,0
460,1,54.2752,35.7248,0.668152,0.141276,33.874,0.00154739,0.0838504,0.459067,0
465,1,56.4253,33.5747,0.757231,0.137956,33.0066,0.00152622,0.0607491,0.456443,0
470,1,58.5252,31.4748,0.847229,0.135032,32.244,0.00151663,0.0432911,0.454088,0
475,1,60.519,29.481,0.934508,0.13252,31.5903,0.00151602,0.0308258,0.45205,0
480,1,62.3363,27.6637,1.01481,0.130438,31.0492,0.00152135,0.0223634,0.45036,0
485,1,63.8932,26.1068,1.08361,0.128801,30.6244,0.00152951,0.0168897,0.44904,0
490,1,65.0983,24.9017,1.13652,0.127622,30.3186,0.00153767,0.0135639,0.448097,0
495,1,65.8646,24.1354,1.1699,0.12691,30.1342,0.00154357,0.0117946,0.447532,0
500,1,66.128,23.872,1.18131,0.126672,30.0726,0.0015457,0.0112415,0.447344,0
505,1,65.8646,24.1354,1.1699,0.12691,30.1342,0.00154357,0.0117946,0.447532,0
510,1,65.0983,24.9017,1.13652,0.127622,30.3186,0.00153767,0.0135639,0.448097,0
515,1,63.8932,26.1068,1.08361,0.128801,30.6244,0.00152951,0.0168897,0.44904,0
520,1,62.3363,27.6637,1.01481,0.130438,31.0492,0.00152135,0.0223634,0.45036,0
525,1,60.519,29.481,0.934508,0.13252,31.5903,0.00151602,0.0308258,0.45205,0
530,1,58.5252,31.4748,0.847229,0.135032,32.244,0.00151663,0.0432911,0.454088,0
535,1,56.4253,33.5747,0.757231,0.137956,33.0066,0.00152622,0.0607491,0.456443,0
540,1,54.2752,35.7248,0.668152,0.141276,33.874,0.00154739,0.0838504,0.459067,0
545,1,52.1173,37.8827,0.582835,0.144973,34.8423,0.00158187,0.112578,0.461902,0
550,1,49.983,40.017,0.503291,0.149031,35.9075,0.00163024,0.146078,0.464879,0
555,1,47.8946,42.1054,0.430761,0.153434,37.0663,0.00169167,0.18277,0.467928,0
560,1,45.8672,44.1328,0.365839,0.158167,38.3153,0.00176411,0.220702,0.47098,0
565,1,43.9108,46.0892,0.308616,0.163216,39.6517,0.00184454,0.257987,0.473973,0
570,1,42.031,47.969,0.258823,0.168573,41.0733,0.00192954,0.293119,0.476853,0
575,1,40.2307,49.7693,0.215959,0.174226,42.5783,0.00201566,0.325117,0.479578,0
580,1,38.5105,51.4895,0.17939,0.18017,44.1654,0.00209988,0.353491,0.482117,0
585,1,36.8692,53.1308,0.148426,0.1864,45.8339,0.00217982,0.378142,0.48445,0
590,1,35.305,54.695,0.122374,0.192912,47.5836,0.00225379,0.399228,0.486569,0
595,1,33.8148,56.1852,0.100572,0.199707,49.4149,0.00232078,0.417056,0.488471,0
600,1,32.3956,57.6044,0.0824093,0.206786,51.3286,0.00238036,0.431997,0.490162,0
605,1,31.0438,58.9562,0.067338,0.214151,53.3262,0.00243256,0.444435,0.491652,0
610,-1,,,,,,,,,0
615,-1,,,,,,,,,0
620,-1,,,,,,,,,0
625,-1,,,,,,,,,0
630,-1,,,,,,,,,0
635,-1,,,,,,,,,0
640,-1,,,,,,,,,0
645,-1,,,,,,,,,0
650,-1,,,,,,,,,0
655,-1,,,,,,,,,0
660,2,30.8997,59.1003,0.0658549,0.214974,53.55,0.00243784,0.44566,0.491803,0
665,2,32.033,57.967,0.0781592,0.208698,51.8467,0.00239482,0.435502,0.490573,0
670,2,33.193,56.807,0.0923099,0.202731,50.2317,0.00234744,0.423845,0.489227,0
675,2,34.3763,55.6237,0.108451,0.197074,48.7046,0.00229601,0.410598,0.487768,0
680,2,35.5785,54.4215,0.126693,0.19173,47.2655,0.00224108,0.395715,0.486207,0
685,2,36.7936,53.2064,0.14709,0.186701,45.9147,0.00218346,0.379216,0.484555,0
690,2,38.014,51.986,0.169624,0.181994,44.6533,0.0021242,0.36121,0.482833,0
695,2,39.2303,50.7697,0.194174,0.177614,43.4823,0.00206456,0.341913,0.481064,0
700,2,40.431,49.569,0.220493,0.17357,42.4034,0.00200593,0.321663,0.479278,0
705,2,41.6024,48.3976,0.24819,0.16987,41.4182,0.00194971,0.300916,0.477506,0
710,2,42.7289,47.2711,0.276709,0.166522,40.5287,0.00189725,0.28023,0.475786,0
715,2,43.7925,46.2075,0.305331,0.163538,39.737,0.0018497,0.26023,0.474155,0
720,2,44.7737,45.2263,0.333183,0.160927,39.0453,0.00180792,0.241554,0.47265,0
725,2,45.6519,44.3481,0.359278,0.158698,38.4557,0.00177248,0.224799,0.471308,0
730,2,46.4066,43.5934,0.382563,0.15686,37.9702,0.00174367,0.210476,0.470162,0
735,2,47.0178,42.9822,0.402001,0.155422,37.5905,0.00172152,0.198985,0.469239,0
740,2,47.4684,42.5316,0.416653,0.154389,37.3182,0.00170589,0.190606,0.468563,0
745,2,47.7446,42.2554,0.425769,0.153768,37.1543,0.00169661,0.185517,0.468151,0
750,2,47.8376,42.1624,0.428863,0.15356,37.0996,0.00169354,0.183811,0.468013,0
755,2,47.7446,42.2554,0.425769,0.153768,37.1543,0.00169661,0.185517,0.468151,0
760,2,47.4684,42.5316,0.416653,0.154389,37.3182,0.00170589,0.190606,0.468563,0
765,2,47.0178,42.9822,0.402001,0.155422,37.5905,0.00172152,0.198985,0.469239,0
770,2,46.4066,43.5934,0.382563,0.15686,37.9702,0.00174367,0.210476,0.470162,0
775,2,45.6519,44.3481,0.359278,0.158698,38.4557,0.00177248,0.224799,0.471308,0
780,2,44.7737,45.2263,0.333183,0.160927,39.0453,0.00180792,0.241554,0.47265,0
785,2,43.7925,46.2075,0.305331,0.163538,39.737,0.0018497,0.26023,0.474155,0
790,2,42.7289,47.2711,0.276709,0.166522,40.5287,0.00189725,0.28023,0.475786,0
795,2,41.6024,48.3976,0.24819,0.16987,41.4182,0.00194971,0.300916,0.477506,0
800,2,40.431,49.569,0.220493,0.17357,42.4034,0.00200593,0.321663,0.479278,0
805,2,39.2303,50.7697,0.194174,0.177614,43.4823,0.00206456,0.341913,0.481064,0
810,2,38.014,51.986,0.169624,0.181994,44.6533,0.0021242,0.36121,0.482833,0
815,2,36.7936,53.2064,0.14709,0.186701,45.9147,0.00218346,0.379216,0.484555,0
820,2,35.5785,54.4215,0.126693,0.19173,47.2655,0.00224108,0.395715,0.486207,0
825,2,34.3763,55.6237,0.108451,0.197074,48.7046,0.00229601,0.410598,0.487768,0
830,2,33.193,56.807,0.0923099,0.202731,50.2317,0.00234744,0.423845,0.489227,0
835,2,32.033,57.967,0.0781592,0.208698,51.8467,0.00239482,0.435502,0.490573,0
840,2,30.8997,59.1003,0.0658549,0.214974,53.55,0.00243784,0.44566,0.491803,0
845,-1,,,,,,,,,0
850,-1,,,,,,,,,0
855,-1,,,,,,,,,0
860,-1,,,,,,,,,0
865,-1,,,,,,,,,0
870,-1,,,,,,,,,0
875,-1,,,,,,,,,0
